brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
louis vitton,Eau de Voyage,https://www.fragrantica.com/perfume/Louis-Vuitton/Eau-de-Voyage-39153.html,unisexe,,1946,,,,,,,,5,6,6,6,7,8,4.29
louis vitton,Imagination,https://www.fragrantica.com/perfume/Louis-Vuitton/Imagination-67370.html,homme,,2021,"citrus;fresh spicy;fresh;green;amber","Citron;Calabrian bergamot;Sicilian Orange","Tunisian Neroli;Nigerian Ginger;Ceylon Cinnamon","Chinese Black Tea;Ambroxan;Guaiac Wood;Olibanum",,,,,,,,,,4.54
louis vitton,Ink Mark,https://www.fragrantica.com/perfume/Louis-Vuitton/Ink-Mark-115407.html,unisexe,,2025,"woody;powdery;warm spicy;aromatic;balsamic",,,,,,,,,,,,,4.42
louis vitton,Moon Tale,https://www.fragrantica.com/perfume/Louis-Vuitton/Moon-Tale-115408.html,unisexe,,2025,"floral;fruity;white floral;fresh;sweet;rose",,,,"Raspberry;Peony;Magnolia;Jasmine Sambac;Rose Geranium",,,,,,,,,4.54
louis vitton,Rain Tea,https://www.fragrantica.com/perfume/Louis-Vuitton/Rain-Tea-115406.html,unisexe,,2025,"citrus;fresh spicy;green;aromatic;herbal;fresh;ozonic",,,,"Lemongrass;Tea;Magnolia;Woody Notes;Rose",,,,,,,,,4.45
louis vitton,Cosmic Cloud,https://www.fragrantica.com/perfume/Louis-Vuitton/Cosmic-Cloud-68355.html,unisexe,,2021,"musky;powdery;fruity;animalic;sweet",,,,"Musk;Black Currant;Bergamot;Patchouli",,,108,120,107,123,120,106,3.71
louis vitton,Dancing Blossom,https://www.fragrantica.com/perfume/Louis-Vuitton/Dancing-Blossom-68358.html,unisexe,,2021,"white floral;rose;floral;tuberose;fruity",,,,"May Rose;Jasmine Sambac;Osmanthus;Tuberose",,,,,,,,,4.04
louis vitton,Fantasmagory,https://www.fragrantica.com/perfume/Louis-Vuitton/Fantasmagory-116625.html,unisexe,Eau de Parfum,2025,"vanilla;almond;nutty;sweet;fruity;powdery",,,,,,,,,,,,,4.25
louis vitton,Myriad,https://www.fragrantica.com/perfume/Louis-Vuitton/Myriad-85363.html,unisexe,,2023,"oud;rose;warm spicy;metallic;leather;tobacco;fresh spicy",Saffron,"Bulgarian Rose;Grasse Rose","Assam Oud;Ambrette;Cacao;White Musk",,,,,,,,,,3.87
louis vitton,Rhapsody,https://www.fragrantica.com/perfume/Louis-Vuitton/Rhapsody-68359.html,unisexe,,2021,"mossy;earthy;aromatic;fresh spicy;fresh;white floral",,,,"Oakmoss;Mate;Lily-of-the-Valley;Jasmine;Rose;Patchouli;Vetiver",,,264,264,264,264,264,264,4.12
louis vitton,Stellar Times,https://www.fragrantica.com/perfume/Louis-Vuitton/Stellar-Times-68356.html,unisexe,,2021,"white floral;amber;woody;citrus;animalic;sweet;soapy",,,,,,,,,,,,,4.43
louis vitton,Symphony,https://www.fragrantica.com/perfume/Louis-Vuitton/Symphony-68357.html,unisexe,,2021,"citrus;fresh spicy;aromatic;floral;bitter",,,,"Grapefruit;Bergamot;Ginger",,,,,,,,,4.47
louis vitton,Afternoon Swim,https://www.fragrantica.com/perfume/Louis-Vuitton/Afternoon-Swim-53947.html,unisexe,Eau de Parfum,2019,"citrus;fresh spicy;sweet;aromatic;amber",,,,"Mandarin Orange;Sicilian Orange;Bergamot;Ambergris;Ginger",,,,,,,,,4.43
louis vitton,Ambre Levant,https://www.fragrantica.com/perfume/Louis-Vuitton/Ambre-Levant-122775.html,unisexe,Eau de Parfum,2026,"amber;oud;balsamic;animalic;smoky","Cinnamon;Mandarin","Incense;White Pepper","Amber;Ambergris;Oud;Labdanum",,,,408,250,166,409,358,408,4.31
louis vitton,Apogée,https://www.fragrantica.com/perfume/Louis-Vuitton/Apogee-40498.html,femme,Eau de Parfum,2016,"white floral;floral;fresh;citrus;green;musky;rose",,,,,,,,,,,,,4.06
louis vitton,Attrape-Rêves,https://www.fragrantica.com/perfume/Louis-Vuitton/Attrape-Reves-51016.html,femme,Eau de Parfum,2018,"rose;floral;fresh;fruity;tropical",,,,,,,,,,,,,4.33
louis vitton,Au Hasard,https://www.fragrantica.com/perfume/Louis-Vuitton/Au-Hasard-49756.html,homme,,2018,"musky;woody;powdery;warm spicy;leather;aromatic;fruity;animalic;sweet","Bergamot;Lemon;Aldehydes","Pear;Cardamom;Freesia;Green Notes;Neroli","Musk;Leather;Sandalwood;Ambrette (Musk Mallow);Cashmeran",,,,,,,,,,4.35
louis vitton,Cactus Garden,https://www.fragrantica.com/perfume/Louis-Vuitton/Cactus-Garden-53946.html,unisexe,Eau de Parfum,2019,"citrus;fresh spicy;aromatic;herbal;green",,,,"Lemongrass;Calabrian bergamot;Mate",,,,,,,,,4.32
louis vitton,California Dream,https://www.fragrantica.com/perfume/Louis-Vuitton/California-Dream-60388.html,unisexe,Eau de Parfum,2020,"citrus;musky;fruity;sweet;powdery;aquatic;fresh",,,,"Mandarin Orange;Musk;Pear;Ambrette (Musk Mallow);Benzoin",,,,,,,,,4.17
louis vitton,City Of Stars,https://www.fragrantica.com/perfume/Louis-Vuitton/City-Of-Stars-73344.html,unisexe,,2022,"citrus;powdery;white floral;musky;fresh spicy",,,,,,,,,,,,,4.33
louis vitton,Cœur Battant,https://www.fragrantica.com/perfume/Louis-Vuitton/Coeur-Battant-57129.html,femme,,2019,"yellow floral;white floral;sweet;fruity;aquatic;fresh;green;floral;woody","Pear;Cascalone;Ambrette (Musk Mallow)","Egyptian Jasmine;Narcissus;Ylang-Ylang","Moss;Patchouli",,,,,,,,,,4.09
louis vitton,Contre Moi,https://www.fragrantica.com/perfume/Louis-Vuitton/Contre-Moi-40501.html,femme,Eau de Parfum,2016,"vanilla;citrus;floral;sweet;cacao;powdery;musky;warm spicy;white floral;fruity",,,,,,,,,,,,,4.14
louis vitton,Dans la Peau,https://www.fragrantica.com/perfume/Louis-Vuitton/Dans-la-Peau-40500.html,femme,Eau de Parfum,2016,"leather;floral;yellow floral;fruity;animalic;green;powdery;lactonic;citrus;smoky","Apricot;Water Notes","Narcissus;Magnolia;Jasmine","Leather;Musk",,,,,,,,,,4.31
louis vitton,eLVes,https://www.fragrantica.com/perfume/Louis-Vuitton/eLVes-104087.html,femme,,2025,"fruity;rose;coconut;sweet;floral;amber;white floral;fresh;powdery;lactonic","Peach;Black Currant;Ginger;Cinnamon","Bulgarian Rose;Rose;Coconut Milk;Lily-of-the-Valley;Violet","Ambroxan;Patchouli",,,,135,258,240,194,245,158,4.00
louis vitton,Étoile Filante,https://www.fragrantica.com/perfume/Louis-Vuitton/Etoile-Filante-64314.html,femme,Eau de Parfum,2021,"fruity;floral;sweet;musky;white floral",Strawberry,"Magnolia;Osmanthus;Jasmine",White Musk,,,,,,,,,,3.90
louis vitton,Fleur du Désert,https://www.fragrantica.com/perfume/Louis-Vuitton/Fleur-du-Desert-73006.html,unisexe,Eau de Parfum,2022,"white floral;rose;oud;amber;floral;citrus;sweet;honey;musky",,,,,,,,,,,,,4.36
louis vitton,Heures d'Absence,https://www.fragrantica.com/perfume/Louis-Vuitton/Heures-d-Absence-59485.html,femme,,2020,"white floral;sweet;powdery;rose;yellow floral;fruity;floral;musky","Jasmine Sambac;May Rose","Mimosa;Pitosporum;Raspberry","Musk;Vanilla;Sandalwood",,,,,,,,,,4.23
louis vitton,L'Immensité,https://www.fragrantica.com/perfume/Louis-Vuitton/L-Immensite-49751.html,homme,,2018,"aromatic;fresh spicy;citrus;amber;herbal;aquatic;fresh;musky",,,,,,,,,,,,,4.38
louis vitton,Le Jour se Lève,https://www.fragrantica.com/perfume/Louis-Vuitton/Le-Jour-se-Leve-48305.html,femme,Eau de Parfum,2018,"citrus;fresh spicy;aromatic;green;floral",,,,,,,,,,,,,4.22
louis vitton,Les Sables Roses,https://www.fragrantica.com/perfume/Louis-Vuitton/Les-Sables-Roses-55040.html,unisexe,Eau de Parfum,2019,"rose;oud;amber;warm spicy;animalic;metallic;floral;leather;balsamic;tobacco",,,,"Rose;Bulgarian Rose;Agarwood (Oud);Ambergris;Saffron;Black Pepper",,,,,,,,,4.43
louis vitton,LV Lovers,https://www.fragrantica.com/perfume/Louis-Vuitton/LV-Lovers-93785.html,homme,Eau de Parfum,2024,"woody;green;aromatic;powdery;balsamic;warm spicy","Galbanum;Bergamot","Ginger;Solar Notes","Sandalwood;Cedarwood",,,,,,,,,,4.10
louis vitton,LV x TM Spell On You,https://www.fragrantica.com/perfume/Louis-Vuitton/LV-x-TM-Spell-On-You-107114.html,femme,,2025,"powdery;floral;violet;iris;musky;white floral;fruity;rose;earthy",,,,,,,,,,,,,4.94
louis vitton,LV x TM Spell On You V.2,https://www.fragrantica.com/perfume/Louis-Vuitton/LV-x-TM-Spell-On-You-V-2-107115.html,femme,,2025,"powdery;floral;violet;iris;musky;white floral;fruity;rose",,,,,,,,,,,,,4.93
louis vitton,LVERS Copper Edition,https://www.fragrantica.com/perfume/Louis-Vuitton/LVERS-Copper-Edition-108426.html,homme,,2025,"woody;green;powdery;aromatic;balsamic;warm spicy",,,,,,,,,,,,,2.19
louis vitton,Matière Noire,https://www.fragrantica.com/perfume/Louis-Vuitton/Matiere-Noire-40496.html,femme,Eau de Parfum,2016,"floral;rose;oud;fruity;amber;fresh;yellow floral;warm spicy;aquatic;balsamic","Blackcurrant Syrup;Watery Notes","Rose;Cyclamen;Narcissus;Jasmine Sambac","Agarwood (Oud);Benzoin;Incense;Patchouli",,,,319,244,134,327,233,335,4.10
louis vitton,Météore,https://www.fragrantica.com/perfume/Louis-Vuitton/Meteore-62251.html,homme,,2020,"citrus;fresh spicy;sweet;aromatic;green","Mandarin Orange;Sicilian Orange;Calabrian bergamot","Tunisian Neroli;Indonesian Nutmeg;Pink Pepper;Pepper;Guatemalan Cardamom",Java vetiver oil,,,,,,,,,,4.26
louis vitton,Mille Feux,https://www.fragrantica.com/perfume/Louis-Vuitton/Mille-Feux-40497.html,femme,Eau de Parfum,2016,"fruity;leather;rose;floral;iris;sweet;warm spicy;earthy;powdery;animalic","Raspberry;Bergamot","Rose;Saffron;Osmanthus;Iris;Jasmine","Leather;Orris Root;Moss;Sandalwood;Patchouli",,,,136,155,120,178,169,131,4.09
louis vitton,Monogram Attrape-Rêves,https://www.fragrantica.com/perfume/Louis-Vuitton/Monogram-Attrape-Reves-122038.html,femme,,2026,"fresh;floral;fruity;tropical;rose",,,,,,,,,,,,,4.88
louis vitton,Monogram eLVes,https://www.fragrantica.com/perfume/Louis-Vuitton/Monogram-eLVes-122132.html,femme,,2026,"fruity;sweet;rose;coconut;lactonic",,,,,,,,,,,,,4.74
louis vitton,Monogram Imagination,https://www.fragrantica.com/perfume/Louis-Vuitton/Monogram-Imagination-122037.html,homme,,2026,"citrus;fresh;fresh spicy;green;aromatic","Citruses;Bergamot","Neroli;Spices","Chinese Black Tea;Ambroxan;Amber",,,,,,,,,,4.76
louis vitton,Nouveau Monde,https://www.fragrantica.com/perfume/Louis-Vuitton/Nouveau-Monde-49753.html,homme,,2018,"warm spicy;leather;oud;cacao;rose;caramel;vanilla;sweet;amber;animalic",,,,"Agarwood (Oud);Leather;Cacao;Rose;Saffron;Caramel;Vanilla;Amberwood;Olibanum;Patchouli;Black Currant",,,831,456,277,811,499,827,4.23
louis vitton,Nuit de Feu,https://www.fragrantica.com/perfume/Louis-Vuitton/Nuit-de-Feu-60031.html,unisexe,,2020,"amber;smoky;oud;leather;balsamic;warm spicy;fresh spicy;animalic",,,,,,,,,,,,,4.07
louis vitton,Ombre Nomade,https://www.fragrantica.com/perfume/Louis-Vuitton/Ombre-Nomade-49755.html,unisexe,,2018,"amber;warm spicy;oud;smoky;rose;leather;woody;fruity;balsamic;sweet",,,,,,,,,,,,,4.26
louis vitton,On The Beach,https://www.fragrantica.com/perfume/Louis-Vuitton/On-The-Beach-66060.html,unisexe,,2021,"aromatic;fresh spicy;woody;citrus;green","Yuzu;Neroli","Rosemary;Thyme;Sand;Cloves;Pink Pepper",Cypress,,,,,,,,,,4.30
louis vitton,Orage,https://www.fragrantica.com/perfume/Louis-Vuitton/Orage-49752.html,homme,,2018,"citrus;aromatic;fresh spicy;woody;earthy",,,,,,,,,,,,,4.30
louis vitton,Pacific Chill,https://www.fragrantica.com/perfume/Louis-Vuitton/Pacific-Chill-81423.html,unisexe,,2023,"citrus;fresh spicy;aromatic;green;fruity;sweet","Citron;Orange;Lemon;Mint;Black Currant;Coriander","Apricot;Basil;Carrot Seeds;May Rose","Fig;Dates;Ambrette",,,,,,,,,,4.45
louis vitton,Pur Ambre,https://www.fragrantica.com/perfume/Louis-Vuitton/Pur-Ambre-90204.html,unisexe,,2024,"amber;animalic;musky;balsamic;salty",,,,,,,,,,,,,4.62
louis vitton,Pur Oud,https://www.fragrantica.com/perfume/Louis-Vuitton/Pur-Oud-66436.html,unisexe,,2021,"oud;fresh spicy",,,,,,,,,,,,,3.77
louis vitton,Pur Santal,https://www.fragrantica.com/perfume/Louis-Vuitton/Pur-Santal-90205.html,unisexe,,2024,"musky;powdery;woody;warm spicy;balsamic",,,,"Sandal;Musk",,,218,218,218,218,218,218,4.66
louis vitton,Rose des Vents,https://www.fragrantica.com/perfume/Louis-Vuitton/Rose-des-Vents-40495.html,femme,Eau de Parfum,2016,"rose;powdery;iris;green;musky;floral;fruity;woody;earthy;ozonic",,,,,,,,,,,,,3.99
louis vitton,Spell On You,https://www.fragrantica.com/perfume/Louis-Vuitton/Spell-On-You-68960.html,femme,,2021,"powdery;floral;violet;iris;rose;musky;white floral;fruity;earthy","Violet;Tuscan Iris;Green Notes","Tuscan Iris;Rose;Chinese Jasmine","Acácia;Peach;White Musk",,,,,,,,,,4.03
louis vitton,Sun Song,https://www.fragrantica.com/perfume/Louis-Vuitton/Sun-Song-53945.html,unisexe,Eau de Parfum,2019,"citrus;white floral;sweet;soapy;animalic",Citron,Orange Blossom,Musk,,,,,,,,,,4.36
louis vitton,Sun Song 2025,https://www.fragrantica.com/perfume/Louis-Vuitton/Sun-Song-2025-107116.html,unisexe,,2025,"citrus;white floral;aromatic;green;fresh","Lemon;Petitgrain","Neroli;Orange Blossom",Musk,,,,,,,,,,4.27
louis vitton,Sur la Route,https://www.fragrantica.com/perfume/Louis-Vuitton/Sur-la-Route-49754.html,homme,,2018,"citrus;fresh;green;woody;aromatic","Citruses;Calabrian bergamot;Lemon;Pink Pepper","Grass;Hedione;Nutmeg;Cardamom","Cedar;Leather;Peru Balsam;Iso E Super;Patchouli",,,,264,563,563,459,563,361,4.43
louis vitton,Turbulences,https://www.fragrantica.com/perfume/Louis-Vuitton/Turbulences-40499.html,femme,Eau de Parfum,2016,"white floral;tuberose;animalic;floral;leather;musky",Jasmine,"Tuberose;Magnolia;Rose","Leather;Musk;Sandalwood",,,,,,,,,,3.97
louis vitton,Heures d'Absence (1927),https://www.fragrantica.com/perfume/Louis-Vuitton/Heures-d-Absence-1927-39152.html,unisexe,,1927,,,,,,,,2,0,3,1,2,1,3.33
louis vitton,Je Tu Il,https://www.fragrantica.com/perfume/Louis-Vuitton/Je-Tu-Il-39155.html,unisexe,,1928,,,,,,,,2,1,4,1,3,1,3.30
louis vitton,Reminiscences,https://www.fragrantica.com/perfume/Louis-Vuitton/Reminiscences-39154.html,unisexe,,1946,,,,,,,,2,0,1,2,1,0,4.00
louis vitton,Sur la Route (vintage),https://www.fragrantica.com/perfume/Louis-Vuitton/Sur-la-Route-vintage-39156.html,unisexe,,1927,,,,,,,,5,5,5,5,5,6,4.31